ID	Labels
10936	Joy
7004	Joy
6877	Anger
8555	Neutral
7878	Neutral
6635	Anger
6995	Anger
10013	Joy
10041	Neutral
8652	Neutral
12048	Neutral
9359	Neutral
7459	Anger
7220	Joy
6761	Neutral
12041	Joy
7952	Neutral
9083	Anger
12714	Love
12376	Anger
7128	Joy
9759	Anger
10132	Joy
9836	Sadness
11708	Joy
12641	Anger
8363	Joy
10808	Joy
9373	Neutral
7222	Anger
12584	Neutral
10212	Sadness
7944	Fear
10191	Joy
11960	Joy
10208	Sadness
9793	Joy
10562	Joy
11939	Fear
11273	Neutral
12131	Neutral
8708	Neutral
7968	Neutral
7994	Sadness
11013	Neutral
8353	Anger
11439	Neutral
10067	Joy
9820	Neutral
10169	Anger
8995	Neutral
10613	Neutral
8103	Neutral
10200	Neutral
7910	Anger
7254	Joy
12569	Love
9381	Anger
7682	Neutral
9280	Neutral
10177	Neutral
6727	Neutral
9347	Neutral
9821	Neutral
8628	Sadness
12251	Neutral
11633	Joy
6880	Joy
6624	Neutral
11333	Neutral
9725	Neutral
8568	Joy
10938	Neutral
12612	Joy
12824	Anger
12379	Neutral
7603	Fear
12013	Neutral
7309	Neutral
10088	Joy
11384	Joy
9255	Neutral
12799	Neutral
12806	Fear
10424	Fear
9031	Anger
12386	Joy
7171	Joy
7791	Joy
7708	Anger
9644	Neutral
8024	Fear
9549	Neutral
7239	Neutral
9938	Neutral
8694	Neutral
12497	Neutral
6628	Anger
11152	Anger
10145	Joy
7764	Fear
10245	Anger
8336	Neutral
10757	Neutral
9133	Fear
9395	Neutral
6604	Anger
10429	Sadness
9037	Neutral
12105	Joy
12273	Joy
8842	Anger
7298	Joy
6788	Anger
8206	Neutral
10246	Joy
11864	Neutral
6695	Joy
11472	Joy
9629	Fear
10377	Sadness
9327	Joy
9558	Fear
7676	Sadness
8188	Fear
8077	Neutral
9545	Fear
9406	Neutral
8307	Neutral
11974	Neutral
8715	Joy
7460	Sadness
12681	Neutral
9508	Neutral
7538	Sadness
10165	Neutral
11851	Neutral
12079	Sadness
8926	Joy
11458	Neutral
9092	Fear
